ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
BNBUSDT,reversal_h,5,86897,86897.0,0.50991403615775,0.509942632469676,0.5101492682685704,0.2499944762189719,0.6931363389936068,8.000659195150917e-07,0.501893880790049,0.5023073293669517,2.5824335714702396e-09
BNBUSDT,reversal_h,10,87125,43562.5,0.5055609756097561,0.5055627493869983,0.5054928768290026,0.2501793101865136,0.6935062048378866,-0.0007176395425672055,0.49271344499819997,0.5003156384505022,0.010328967939303444
BNBUSDT,reversal_h,15,87239,29079.666666666668,0.516179690276138,0.5161941935214303,0.5162351738000313,0.24975187244237093,0.6926508732584447,0.0009788153456666837,0.5083412087957693,0.5018512362590126,1.765532914237257e-08
BNBUSDT,momentum_h,5,86897,86897.0,0.48979826691370243,0.4898066793966096,0.48985073173142957,0.2507991069887338,0.6947464596308365,-0.003217791553278948,0.49781807131769523,0.5023073293669517,0.9999999991181093
BNBUSDT,momentum_h,10,87125,43562.5,0.4946341463414634,0.49463577085127125,0.4945071231709973,0.25061638335724534,0.6943808178388071,-0.0024659329222072035,0.5072387011700324,0.5003156384505022,0.9876831653275358
BNBUSDT,momentum_h,15,87239,29079.666666666668,0.4838546980135031,0.48385526184701166,0.48376482619996874,0.25104487213287635,0.695238253164672,-0.004193254316651851,0.4920355530692913,0.5018512362590126,0.9999999823446709
BNBUSDT,always_up,5,86897,86897.0,0.5023073293669517,0.5,0.5,0.25030770682532194,0.6937631363534066,-0.0012521490411261382,0.49942104805847565,0.5023073293669517,0.08740147566691492
BNBUSDT,always_up,10,87125,43562.5,0.5003156384505022,0.5,0.5,0.2503873744619799,0.693922556687208,-0.0015498969760954218,0.4991989252473079,0.5003156384505022,0.44853533383681576
BNBUSDT,always_up,15,87239,29079.666666666668,0.5018512362590126,0.5,0.5,0.25032595054963946,0.6937996432807173,-0.0013175285623849842,0.49903507167062405,0.5018512362590126,0.26710040735928686
BNBUSDT,majority_prev_day,5,86897,86897.0,0.5047815229524609,0.5046429383105552,0.5047783531928054,0.25019908627455495,0.6935457764590872,-0.000817657585530096,0.5031938180003594,0.5023073293669517,0.002433937391458008
BNBUSDT,majority_prev_day,10,87125,43562.5,0.5010846484935437,0.5010824643626716,0.5007170586523151,0.25036891362984215,0.6938856139125165,-0.0014760536181170902,0.5025134988032841,0.5003156384505022,0.32794933376375374
BNBUSDT,majority_prev_day,15,87239,29079.666666666668,0.5035591879778539,0.5034838400702812,0.5034126269781715,0.25025843487431076,0.6936645384362233,-0.0010474621589182664,0.5040516950881065,0.5018512362590126,0.11351768036921338
DOGEUSDT,logit,5,84353,84353.0,0.5172311595319669,0.517197718043445,0.5260671180332364,0.25017885255363376,0.6935656558115081,-0.000784525730093133,0.5028160388370725,0.4958448425070833,7.12617937387036e-24
DOGEUSDT,logit,10,85355,42677.5,0.5256985531017515,0.5252199930616184,0.5333377999676686,0.25007841619481175,0.6933893389200888,-0.0004271280484902107,0.5133968161422706,0.49467518013004513,1.2963863808117966e-26
DOGEUSDT,logit,15,85744,28581.333333333332,0.5264974808732973,0.5260635263568431,0.5357804915885571,0.2500876721906858,0.6934457414286826,-0.0004797865364847276,0.5101157670097881,0.49432030229520435,1.6603880268226783e-19
