market,t_event,t_prev,t0,dP,p_prev,p_event,mid0,phase,delay_first_ms,delay_ask_ms,delay_bid_ms,delay_placebo_ms,delay_50_ms,delay_90_ms,censored_50,censored_90,jump,asset,duration
eth-updown-5m-1790419500,1790419474.5,1790419473.5,1790419473.9788878,0.05971312030820475,0.5044429550777044,0.5641560753859092,0.505,2,430.7901859283447,430.7901859283447,655.4977893829346,2361.8249893188477,9181.482315063477,9181.482315063477,False,False,0.05,eth,5m
eth-updown-5m-1790419500,1790419544.8,1790419543.8,1790419544.7782533,0.12609141080314545,0.6161862680658491,0.7422776788689945,0.555,3,423.7396717071533,423.7396717071533,427.11639404296875,1860.736608505249,427.11639404296875,429.60381507873535,False,False,0.05,eth,5m
eth-updown-5m-1790419500,1790419544.8,1790419543.8,1790419544.7782533,0.12609141080314545,0.6161862680658491,0.7422776788689945,0.555,3,423.7396717071533,423.7396717071533,427.11639404296875,1860.736608505249,427.11639404296875,429.60381507873535,False,False,0.1,eth,5m
eth-updown-5m-1790419800,1790419858.2,1790419857.2,1790419858.1237833,0.26195894427100386,0.48977618723136185,0.7517351315023657,0.52,3,365.858793258667,365.858793258667,366.1477565765381,928.347110748291,496.9067573547363,559.5839023590088,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790419860.5,1790419859.5,1790419860.4051707,-0.07806475719240646,0.7975944741990081,0.7195297170066016,0.8200000000000001,3,42.23179817199707,44.52681541442871,42.23179817199707,,-60.53924560546875,118.17121505737305,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790419869.2,1790419868.2,1790419869.1417792,-0.08880753369479755,0.7214550719805758,0.6326475382857782,0.715,3,82.84568786621094,83.55450630187988,82.84568786621094,,89.89810943603516,182.86824226379395,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790419925.0,1790419924.0,1790419924.9880881,-0.056280393707014875,0.5564571104520982,0.5001767167450833,0.495,3,127.19178199768066,131.34002685546875,127.19178199768066,12.454748153686523,-603.4989356994629,-567.9903030395508,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790419957.1,1790419956.1,1790419957.0124,-0.13670145372026432,0.4920154597440825,0.3553140060238182,0.475,3,196.763277053833,197.18217849731445,196.763277053833,68.15838813781738,200.81329345703125,204.5443058013916,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790419993.1,1790419992.1,1790419993.0918925,-0.052664619305659965,0.3009285798519575,0.2482639605462975,0.185,3,102.91767120361328,103.67298126220703,102.91767120361328,,103.67298126220703,159.50798988342285,False,False,0.05,eth,5m
eth-updown-5m-1790419800,1790420021.3,1790420020.3,1790420021.2306225,-0.06464669809661286,0.12374118325961653,0.05909448516300366,0.035,3,8968.950033187866,8972.810745239258,8968.950033187866,1515.5284404754639,,,True,True,0.05,eth,5m
eth-updown-5m-1790419800,1790419858.2,1790419857.2,1790419858.1237833,0.26195894427100386,0.48977618723136185,0.7517351315023657,0.52,3,365.858793258667,365.858793258667,366.1477565765381,928.347110748291,496.9067573547363,559.5839023590088,False,False,0.1,eth,5m
eth-updown-5m-1790419800,1790419957.1,1790419956.1,1790419957.0124,-0.13670145372026432,0.4920154597440825,0.3553140060238182,0.475,3,196.763277053833,197.18217849731445,196.763277053833,68.15838813781738,200.81329345703125,204.5443058013916,False,False,0.1,eth,5m
eth-updown-5m-1790420100,1790420095.0,1790420094.0,1790420094.2524037,-0.05480173176508363,0.47887016144654426,0.42406842968146063,0.415,2,106.67204856872559,106.67204856872559,308.67505073547363,826.1668682098389,1812.5572204589844,4844.772577285767,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420108.6,1790420107.6,1790420108.514068,-0.1778079132439057,0.4217513255574641,0.24394341231355837,0.365,3,148.33474159240723,148.69976043701172,148.33474159240723,,214.5373821258545,4111.33599281311,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420116.9,1790420115.9,1790420116.807779,0.0734262963230693,0.2518923837170325,0.3253186800401018,0.195,3,38.925886154174805,38.925886154174805,41.409969329833984,,92.74649620056152,189.94688987731934,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420141.1,1790420140.1,1790420141.050603,-0.057899670119528346,0.2998835983163572,0.24198392819682885,0.225,3,90.4688835144043,90.68751335144043,90.4688835144043,1490.9629821777344,90.68751335144043,106.82272911071777,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420143.2,1790420142.2,1790420143.138275,0.11143678842624838,0.2055867848100627,0.3170235732363111,0.125,3,8.075714111328125,8.075714111328125,13.870716094970703,,248.83055686950684,371.05798721313477,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420153.9,1790420152.9,1790420153.8463159,0.09701420194996307,0.3198006296740914,0.41681483162405447,0.335,3,124.67765808105469,124.67765808105469,124.94730949401855,,1371.3891506195068,1484.6301078796387,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420157.3,1790420156.3,1790420157.2177625,0.053824614443501284,0.4441442522124396,0.49796886665594087,0.46499999999999997,3,254.8515796661377,254.8515796661377,255.24139404296875,999.9425411224365,255.24139404296875,874.6974468231201,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420182.6,1790420181.6,1790420182.5115025,0.18332141861056217,0.4978147836581365,0.6811362022686986,0.585,3,117.56110191345215,117.56110191345215,118.14427375793457,,349.9581813812256,456.68816566467285,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420192.5,1790420191.5,1790420192.4930875,-0.07738927590964162,0.7328073646801039,0.6554180887704623,0.725,3,96.96149826049805,101.29714012145996,96.96149826049805,1355.7193279266357,4551.424980163574,11532.250881195068,False,False,0.05,eth,5m
eth-updown-5m-1790420100,1790420108.6,1790420107.6,1790420108.514068,-0.1778079132439057,0.4217513255574641,0.24394341231355837,0.365,3,148.33474159240723,148.69976043701172,148.33474159240723,,214.5373821258545,4111.33599281311,False,False,0.1,eth,5m
eth-updown-5m-1790420100,1790420143.2,1790420142.2,1790420143.138275,0.11143678842624838,0.2055867848100627,0.3170235732363111,0.125,3,8.075714111328125,8.075714111328125,13.870716094970703,,248.83055686950684,371.05798721313477,False,False,0.1,eth,5m
eth-updown-5m-1790420100,1790420182.6,1790420181.6,1790420182.5115025,0.18332141861056217,0.4978147836581365,0.6811362022686986,0.585,3,117.56110191345215,117.56110191345215,118.14427375793457,,349.9581813812256,456.68816566467285,False,False,0.1,eth,5m
eth-updown-5m-1790420400,1790420445.7,1790420444.7,1790420445.6991258,0.05892009526356079,0.5028091189867813,0.5617292142503421,0.605,3,140.9308910369873,140.9308910369873,142.0764923095703,,195.7106590270996,401.7224311828613,False,False,0.05,eth,5m
eth-updown-5m-1790420400,1790420449.8,1790420448.8,1790420449.7053335,0.09012366771459823,0.5619542296137909,0.6520778973283892,0.655,3,8.71586799621582,8.71586799621582,8.911371231079102,,202.35538482666016,10644.071817398071,False,False,0.05,eth,5m
eth-updown-5m-1790420400,1790420462.7,1790420461.7,1790420462.622185,-0.20767478940148537,0.6554287060151794,0.44775391661369407,0.765,3,199.77474212646484,200.7591724395752,199.77474212646484,2306.17356300354,200.7591724395752,361.222505569458,False,False,0.05,eth,5m
