lag_ms,corr,n,asset,horloge,horizon_s
8000,0.030695362324573726,3397,btc,serveur,1.0
8100,0.03692653196178904,3397,btc,serveur,1.0
8200,0.039015534553132586,3397,btc,serveur,1.0
8300,0.026525321045554884,3397,btc,serveur,1.0
8400,0.0028062104139811262,3397,btc,serveur,1.0
8500,0.001432887074697829,3397,btc,serveur,1.0
8600,0.015393948787656994,3397,btc,serveur,1.0
8700,-0.006572615698764294,3396,btc,serveur,1.0
8800,-0.009711139726829307,3396,btc,serveur,1.0
8900,-0.005232660784383352,3396,btc,serveur,1.0
9000,0.004450363695302074,3396,btc,serveur,1.0
9100,-0.003327819516109896,3396,btc,serveur,1.0
9200,-0.006167050424287607,3396,btc,serveur,1.0
9300,0.005000989506379829,3396,btc,serveur,1.0
9400,-0.00010639811104795111,3396,btc,serveur,1.0
9500,0.002149942098158047,3396,btc,serveur,1.0
9600,0.022701106575419832,3396,btc,serveur,1.0
9700,0.03503538951568929,3395,btc,serveur,1.0
9800,0.02928413224167796,3395,btc,serveur,1.0
9900,0.02973620248550976,3395,btc,serveur,1.0
10000,0.03412186102227071,3395,btc,serveur,1.0
-3000,0.37777042490748125,3394,btc,serveur,5.0
-2900,0.3903653761190442,3394,btc,serveur,5.0
-2800,0.40881806346315847,3394,btc,serveur,5.0
-2700,0.4277203004368671,3394,btc,serveur,5.0
-2600,0.4429454620627519,3394,btc,serveur,5.0
-2500,0.4505438205607939,3394,btc,serveur,5.0
-2400,0.4608367200007404,3394,btc,serveur,5.0
-2300,0.48417855831107665,3393,btc,serveur,5.0
-2200,0.5032581026522462,3393,btc,serveur,5.0
-2100,0.5315158921684658,3393,btc,serveur,5.0
-2000,0.539478122851698,3393,btc,serveur,5.0
-1900,0.554598117759049,3393,btc,serveur,5.0
-1800,0.5688964184468465,3393,btc,serveur,5.0
-1700,0.5896870420694292,3393,btc,serveur,5.0
-1600,0.6086929494369087,3393,btc,serveur,5.0
-1500,0.6169111949156231,3393,btc,serveur,5.0
-1400,0.6317385801070524,3393,btc,serveur,5.0
-1300,0.6539444440106076,3393,btc,serveur,5.0
-1200,0.6715142892070468,3393,btc,serveur,5.0
-1100,0.6957894699283728,3393,btc,serveur,5.0
