margin,trigger,latency_ms,hour,n_opp,n_filled,shares,pnl,markout,n_markets
0.01,saut,200,2026-09-26 11:00:00+00:00,98,50,1373.66,130.32355232999996,88.59435232999999,9
0.01,saut,300,2026-09-26 10:00:00+00:00,108,61,1944.63,34.36858320999998,-9.430066790000025,11
0.01,saut,300,2026-09-26 11:00:00+00:00,98,36,1125.91,219.26292199999997,37.836371999999976,9
0.01,saut,500,2026-09-26 10:00:00+00:00,108,45,1495.68,242.50830488999998,23.479254889999986,11
0.01,saut,500,2026-09-26 11:00:00+00:00,98,22,786.11,178.9719894,19.659639399999982,9
0.01,saut,750,2026-09-26 10:00:00+00:00,108,41,1403.48,183.49933067999996,16.52158067999998,11
0.01,saut,750,2026-09-26 11:00:00+00:00,98,23,846.33,161.32502220000003,17.861172199999984,9
0.01,saut,1000,2026-09-26 10:00:00+00:00,108,42,1601.32,126.47986739999993,0.5913673999999817,11
0.01,saut,1000,2026-09-26 11:00:00+00:00,98,26,1067.12,90.07939524000001,40.203795239999984,9
0.01,saut,2000,2026-09-26 10:00:00+00:00,108,41,1505.84,39.74258963999999,22.655289639999964,11
0.01,saut,2000,2026-09-26 11:00:00+00:00,98,29,1370.0,169.34289000000007,-20.80711000000002,9
0.01,saut,5000,2026-09-26 10:00:00+00:00,108,31,1125.99,-24.359224690000012,-5.689024690000013,11
0.01,saut,5000,2026-09-26 11:00:00+00:00,98,28,1180.29,275.01560903999996,-66.02894096,9
0.02,carnet,0,2026-09-26 10:00:00+00:00,461,461,9858.54,-473.65593985999993,-199.64038986000003,11
0.02,carnet,0,2026-09-26 11:00:00+00:00,496,496,10149.87,-1651.65653017,-389.36343017,11
0.02,carnet,25,2026-09-26 10:00:00+00:00,461,443,14772.89,-439.1786121100002,-259.99741211,11
0.02,carnet,25,2026-09-26 11:00:00+00:00,496,489,17342.03,-2571.33190655,-441.93670655000005,11
0.02,carnet,50,2026-09-26 10:00:00+00:00,461,440,15887.08,-604.4383201,-209.92222010000006,11
0.02,carnet,50,2026-09-26 11:00:00+00:00,496,487,18894.09,-2658.5098705500004,-381.7123705500001,11
0.02,carnet,100,2026-09-26 10:00:00+00:00,461,431,16639.19,-507.69006212,-237.47506212000005,11
0.02,carnet,100,2026-09-26 11:00:00+00:00,496,475,20065.32,-2783.09900775,-442.5016577500001,11
0.02,carnet,150,2026-09-26 10:00:00+00:00,461,421,16280.84,-543.1640843499999,-218.12323435000002,11
0.02,carnet,150,2026-09-26 11:00:00+00:00,496,471,19961.06,-2840.76312056,-399.44612056000017,11
0.02,carnet,200,2026-09-26 10:00:00+00:00,461,414,15749.03,-421.4964050499999,-233.86420505,11
0.02,carnet,200,2026-09-26 11:00:00+00:00,496,467,20361.27,-2674.0948709100003,-402.11172091000014,11
0.02,carnet,300,2026-09-26 10:00:00+00:00,461,402,15996.89,-283.0429901399999,-259.55794014,11
0.02,carnet,300,2026-09-26 11:00:00+00:00,496,466,20181.71,-2706.5774136600003,-420.4414636600002,11
0.02,carnet,500,2026-09-26 10:00:00+00:00,461,379,15066.79,-294.2765420299999,-172.8548920300001,11
0.02,carnet,500,2026-09-26 11:00:00+00:00,496,451,19442.81,-2412.80187872,-294.3036287200001,11
0.02,carnet,750,2026-09-26 10:00:00+00:00,461,358,14441.37,-575.8842573500001,-144.32335735000007,11
0.02,carnet,750,2026-09-26 11:00:00+00:00,496,439,18729.82,-2442.87419765,-235.98789765000012,11
0.02,carnet,1000,2026-09-26 10:00:00+00:00,461,357,14906.66,-117.94011967000006,-136.70386967000005,11
0.02,carnet,1000,2026-09-26 11:00:00+00:00,496,426,17629.5,-1945.7166358599998,-165.5953358600002,11
0.02,carnet,2000,2026-09-26 10:00:00+00:00,461,336,12841.78,-622.2080644600001,-127.26456446000012,11
0.02,carnet,2000,2026-09-26 11:00:00+00:00,496,400,16877.56,-2049.9410244200003,-334.5182244200002,11
0.02,carnet,5000,2026-09-26 10:00:00+00:00,461,305,12452.83,-202.7408357899999,12.924114209999985,11
0.02,carnet,5000,2026-09-26 11:00:00+00:00,496,375,15028.06,-837.2925528500001,-367.9794028500001,11
0.02,persistante,0,2026-09-26 10:00:00+00:00,1769,1769,35824.9,-969.7537600499994,-707.75121005,11
0.02,persistante,0,2026-09-26 11:00:00+00:00,1473,1473,31368.82,-1349.83324064,-1262.18254064,11
0.02,persistante,25,2026-09-26 10:00:00+00:00,1769,1748,58431.55,-102.77964115000009,-1106.14834115,11
0.02,persistante,25,2026-09-26 11:00:00+00:00,1473,1459,52132.42,-2374.9898498000002,-2334.4331498,11
0.02,persistante,50,2026-09-26 10:00:00+00:00,1769,1747,61811.9,-441.04172265000034,-1143.55232265,11
0.02,persistante,50,2026-09-26 11:00:00+00:00,1473,1452,55860.87,-2236.168653900001,-2376.0194539,11
0.02,persistante,100,2026-09-26 10:00:00+00:00,1769,1736,65438.5,-47.570270030000074,-1122.14202003,11
0.02,persistante,100,2026-09-26 11:00:00+00:00,1473,1434,58482.53,-2155.79162552,-2363.04022552,11
0.02,persistante,150,2026-09-26 10:00:00+00:00,1769,1729,65742.15,-101.9979615300008,-1001.69196153,11
0.02,persistante,150,2026-09-26 11:00:00+00:00,1473,1425,58636.63,-2385.621977150001,-2393.24907715,11
0.02,persistante,200,2026-09-26 10:00:00+00:00,1769,1721,66911.77,410.4089551599998,-755.5884448399999,11
0.02,persistante,200,2026-09-26 11:00:00+00:00,1473,1420,59530.77,-2349.0393107600007,-2380.66041076,11
0.02,persistante,300,2026-09-26 10:00:00+00:00,1769,1713,67815.09,951.39732562,-412.55792437999986,11
0.02,persistante,300,2026-09-26 11:00:00+00:00,1473,1405,59451.96,-2063.2267731300008,-2505.18092313,11
0.02,persistante,500,2026-09-26 10:00:00+00:00,1769,1701,66774.55,605.9905364099998,-490.20026358999985,11
0.02,persistante,500,2026-09-26 11:00:00+00:00,1473,1396,59151.81,-1773.8601670400003,-2277.55651704,11
0.02,persistante,750,2026-09-26 10:00:00+00:00,1769,1680,66809.06,1044.9860575300002,-289.72534247,11
0.02,persistante,750,2026-09-26 11:00:00+00:00,1473,1388,58500.59,-2303.43645907,-2255.55925907,11
0.02,persistante,1000,2026-09-26 10:00:00+00:00,1769,1683,67605.51,1376.1998900399994,-432.41795995999985,11
0.02,persistante,1000,2026-09-26 11:00:00+00:00,1473,1375,58032.5,-2820.8582954200006,-2334.57489542,11
0.02,persistante,2000,2026-09-26 10:00:00+00:00,1769,1636,64293.22,871.9551491699992,-1206.59725083,11
0.02,persistante,2000,2026-09-26 11:00:00+00:00,1473,1338,56953.83,-2270.59758727,-2743.20033727,11
0.02,persistante,5000,2026-09-26 10:00:00+00:00,1769,1479,60645.67,232.4990876399999,-1302.7343123599999,11
0.02,persistante,5000,2026-09-26 11:00:00+00:00,1473,1258,54612.98,-1452.9341735100008,-2274.4953235099997,11
0.02,saut,0,2026-09-26 10:00:00+00:00,106,106,2838.14,203.61404454999996,149.18834454999995,11
0.02,saut,0,2026-09-26 11:00:00+00:00,86,86,2230.45,304.3354044800001,201.63585447999998,9
0.02,saut,25,2026-09-26 10:00:00+00:00,106,97,2995.96,207.87075605999996,130.46905605999993,11
0.02,saut,25,2026-09-26 11:00:00+00:00,86,66,1791.84,327.58604334,160.59014333999997,9
0.02,saut,50,2026-09-26 10:00:00+00:00,106,94,2902.06,146.71427413000004,130.50737412999996,11
0.02,saut,50,2026-09-26 11:00:00+00:00,86,61,1752.71,288.84013947000005,167.29938947,9
0.02,saut,100,2026-09-26 10:00:00+00:00,106,88,2585.61,89.4421403,71.02094029999996,11
0.02,saut,100,2026-09-26 11:00:00+00:00,86,54,1420.51,248.72192257,111.72767257,9
0.02,saut,150,2026-09-26 10:00:00+00:00,106,80,2430.09,158.75760593999996,69.16815593999995,11
0.02,saut,150,2026-09-26 11:00:00+00:00,86,46,1321.18,194.19184334,61.301543339999995,9
0.02,saut,200,2026-09-26 10:00:00+00:00,106,67,2087.12,291.82454844000006,21.987348439999963,11
0.02,saut,200,2026-09-26 11:00:00+00:00,86,40,1109.99,158.12998340999997,83.44943340999998,9
0.02,saut,300,2026-09-26 10:00:00+00:00,106,60,2043.57,236.03849521,-12.364654790000037,11
0.02,saut,300,2026-09-26 11:00:00+00:00,86,29,840.42,192.49925384,39.05965383999998,9
0.02,saut,500,2026-09-26 10:00:00+00:00,106,46,1584.12,351.1295553299999,16.857605329999977,11
0.02,saut,500,2026-09-26 11:00:00+00:00,86,13,408.75,107.95614787999999,14.966197879999989,9
0.02,saut,750,2026-09-26 10:00:00+00:00,106,41,1452.61,268.60604312,10.728393119999966,11
0.02,saut,750,2026-09-26 11:00:00+00:00,86,12,414.61,58.99420044,36.42775043999998,9
0.02,saut,1000,2026-09-26 10:00:00+00:00,106,41,1569.08,248.19220767999997,-2.675642320000027,11
0.02,saut,1000,2026-09-26 11:00:00+00:00,86,13,511.02,-31.460609460000008,62.42979053999999,9
0.02,saut,2000,2026-09-26 10:00:00+00:00,106,41,1610.62,113.76294937999997,26.63339937999996,11
0.02,saut,2000,2026-09-26 11:00:00+00:00,86,17,770.0,51.05814000000002,-0.09186000000001115,9
0.02,saut,5000,2026-09-26 10:00:00+00:00,106,33,1207.69,92.82585591,15.169055909999983,11
0.02,saut,5000,2026-09-26 11:00:00+00:00,86,17,637.29,170.78954704,-44.55000295999999,9
