wallet,n_hours_top10,pnl_in_top10_hours,n_hours_active,pnl_48h,pnl_incl_rebate_48h,volume_48h,markets_per_active_hour,name,pseudonym,taker_share_48h,pnl_outside_top10_hours
0x44ccbd392120677fb8c589f4048f3fab13f3038d,4,2433.051627058852,25,195.50663404623296,195.50663404623296,17552.896483961045,3.72,Anson41,Lumpy-Resume,1.0,-2237.5449930126188
0x6d0194729138692c6db1ca949b54ed6567f17137,4,3557.8594889359765,14,-754.7094631728403,-754.7094631728403,17966.82897911253,3.4285714285714284,Lion1123,Regal-Virus-Smock,1.0,-4312.568952108817
0x0d2d845a6ff64e31e04a70afce8a573940767ff5,4,3252.3204589652714,42,-1728.706945060861,-1222.1338078035124,69391.01151004009,18.714285714285715,38791873984189,Sympathetic-Back,0.0,-4981.027404026132
0x855e484854d1411b959ddffdda11a698566c5189,4,2530.1797099937803,48,-5418.260299890411,-4862.207425212998,117975.81948389042,10.020833333333334,0x855e484854D1411B959dDffddA11A698566C5189-1780249997359,Jaunty-Harmony,0.0,-7948.440009884192
0x074a3a0ffc6e1077a9d7fcbd774029e0cc6ef0e0,3,39214.43482243978,5,39206.325178439554,39320.185492381,47024.98651362176,3.0,ox123bs,Colorless-Discussion-Steamroller,0.6766748521336283,-8.10964400022931
0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,3,49980.657897123565,48,38629.69706900835,38821.115390004314,71407.51337891676,17.145833333333332,neutralwave23,Monstrous-Dew,0.7107971079677663,-11350.960828115218
0x66b5b67787fddbedfffaab6cf83ac4698b730c9e,3,9331.379355973695,3,9331.379355973695,9366.460283409491,12739.286440022444,2.6666666666666665,DambraVictoria,Back-Luck-Fork,0.4188040456659679,0.0
0x48ac40fc545cf327edd5365435c3a9f385614a7e,3,1135.9833311850607,48,5096.039731142378,5138.953297251175,763316.0049848576,13.145833333333334,BoneOhio,Warlike-Fallingout,0.6367826307133446,3960.056399957317
0x22a60c995b7bcf2516fccf2f228e35aefedbb5cc,3,4690.372381916367,24,4441.729379981759,4450.803525191126,10964.672709018749,1.9166666666666667,rwpo,Gregarious-Maternity-Turn,0.8848578700438663,-248.64300193460804
0x0ca4e9d27ff826a109ecbf74754fb66b93f277a6,3,1584.387146997436,48,4081.7629100579943,4219.239530799356,159986.594124942,11.5625,GoodFallen,Blue-Smith,0.856249016670626,2497.3757630605583
0xc53375ff94e96100f2b30a4b5775db35218d69a9,3,1397.6780329939345,48,2676.01406004622,2913.0148128337487,251298.65723195378,11.833333333333334,dangerously-skip-permissions,Lone-Easel-Election,0.8432158138608655,1278.3360270522855
0xc387c2a40d389f17b723b6bba9b18b7dbd2de4f4,3,1869.382128007585,46,2098.170233998447,2464.6145679759243,68037.95791700155,14.543478260869565,flippingsharks,Ambitious-Membership,0.035008242060080935,228.78810599086228
0x5380555499c258e06330d364f3828079951ed4b3,3,4479.612119123953,42,1370.5949960649848,1375.2634260972495,23488.103478923254,2.8095238095238093,rear,Jittery-Cofactor,0.9661167991825707,-3109.0171230589676
0x2106587a1e6f51b16880a5fd4ab253fd78d24c18,3,1886.9738199764001,11,1319.9096049570976,1329.9499952463575,4381.886769042902,1.5454545454545454,wuhua2000003,Winged-Logistics,0.6363764622450694,-567.0642150193025
0x672c9e0698b0d668f8fd8baf0e1e19c76142881b,3,9565.920065914257,47,1278.08479281885,1278.08479281885,34266.66389118115,5.085106382978723,Antonio1729-2,Descriptive-Spectrograph,1.0,-8287.835273095407
