group,t_rel_s,n_fills,share_of_group_fills,notional,share_of_group_notional
autres,27,13114,0.0038051487603089963,103789.8022371674,0.002926328732052648
autres,28,2097,0.0006084640041457958,17795.808729979566,0.0005017485848720873
autres,29,14103,0.00409211628539254,115967.3546429627,0.003269671919177389
autres,30,12546,0.0036403382908980226,106129.91504174123,0.0029923076547277356
autres,31,2445,0.0007094394325877304,20608.991326056966,0.0005810655975454552
autres,32,14931,0.004332368166857834,112259.75533614837,0.0031651370405611163
autres,33,14395,0.004176842794315083,114473.0010931198,0.003227538977072368
autres,34,2706,0.0007851710039191814,19757.165605034013,0.0005570485744044449
autres,35,15770,0.004575811800371578,133432.1265052124,0.0037620869984783503
autres,36,12436,0.003608420770413503,97927.31805689847,0.002761037388123469
autres,37,2690,0.0007805284554850694,26490.25213090828,0.0007468863439286519
autres,38,16059,0.004659667831462725,126037.73096411528,0.003553603778916673
autres,39,12423,0.0036046486998107872,96392.68566805546,0.002717768793754747
autres,40,2608,0.0007567353947602458,20362.307778080234,0.0005741104137161282
autres,41,14182,0.004115038868285968,114646.20145387317,0.0032324223199552875
autres,42,11636,0.003376293348707906,87813.9766688742,0.0024758941385660035
autres,43,2545,0.00073845536030093,23347.1382429323,0.0006582669971311679
autres,44,13766,0.0039943326089990575,110614.13547285076,0.003118739180807994
autres,45,12206,0.003541684136673144,95315.87093695436,0.0026874082591087887
autres,46,2136,0.0006197802159539436,16446.055113994204,0.00046369260343159585
autres,47,13341,0.0038710149162179595,109653.9054900872,0.0030916657253492537
autres,48,12027,0.0034897456260665166,119997.05070477286,0.0033832882390174477
autres,49,1887,0.0005475305559480766,12495.06892197521,0.00035229548960697657
autres,50,12869,0.0037340597374116574,110785.33029989449,0.003123565978146061
autres,51,11390,0.003304914166533435,89540.46605302604,0.002524572095181458
autres,52,2266,0.0006575009219811031,19745.061412948355,0.0005567072995940584
autres,53,13436,0.0038985800475454992,102299.92708414857,0.002884322057278495
autres,54,11546,0.0033501790137660265,92881.48596920865,0.002618771355266223
autres,55,2711,0.0007866218003048413,23932.12387987601,0.0006747605277124747
autres,56,13648,0.003960093814297482,103068.17813907164,0.00290598271263184
autres,57,10741,0.0031166007956747697,82211.10344398393,0.0023179224636361378
autres,58,2049,0.0005945363588434599,17453.583701990254,0.0004920996317895462
autres,59,13003,0.003772941080547345,103467.81779999158,0.002917250457603022
autres,60,11062,0.0032097419236341404,86186.35835596058,0.0024300038282346424
