slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789119000,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789118940.0,1789119000.0,91.0,False,True,True,1789118985.0,45.0,traversal,0.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789119300,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789119240.0,1789119300.0,100.0,False,True,True,1789119255.0,15.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789119300,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789119240.0,1789119300.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789119600,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789119540.0,1789119600.0,100.0,False,True,True,1789119589.0,49.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789119600,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789119540.0,1789119600.0,91.0,True,False,False,,,,0.0,1.0,,,,,
btc-updown-5m-1789119900,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789119840.0,1789119900.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789119900,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789119840.0,1789119900.0,91.0,False,True,True,1789119882.0,42.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789120200,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789120140.0,1789120200.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789120200,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789120140.0,1789120200.0,91.0,False,True,True,1789120179.0,39.0,queue,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789120500,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789120440.0,1789120500.0,100.0,False,True,True,1789120501.0,61.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789120500,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789120440.0,1789120500.0,91.0,False,True,True,1789120483.0,43.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789120800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789120740.0,1789120800.0,100.0,False,True,True,1789120770.0,30.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789120800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789120740.0,1789120800.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789121100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789121040.0,1789121100.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
